date,speaker,text,source_file,clean_text
2025-01-22,biggs,"Thank you, Mr. Chair.
It is ludicrous for the Ranking Member of the Subcommittee
to make the argument that millions of illegal aliens who
crossed into the country during the Biden Administration
invaded the country because the immigration system is, quote,
``broken.''
The fact is these individuals came because of Biden's open
border policy. No fence, no detention, no removal, and,
frankly, no enforcement. That's what happened.
It is rich to decry the pardons of President Trump yet fail
to even insult, discuss, address places like San Diego, which
have just become a super sanctuary city, or the California",2025-01-22_biggs.txt,thank chair ludicrous ranking member subcommittee make argument millions illegal aliens crossed country biden administration invaded country immigration system quote broken fact individuals came biden open border policy fence detention removal frankly enforcement happened rich decry pardons president trump yet fail even insult discuss address places like san diego become super sanctuary city california
2025-01-22,biggs,"It is almost silly to say that the Senate plan,
which would have allowed 7,500 people a day into the country
before the President had to take any Executive action at all
would have been a panacea Biden's failed policies.
It is unique and, perhaps, we're fortunate that an
individual, as the Ranking Member of the entire Committee, is
able to condemn pardons, Presidential Pardons as the only
person that I know of on this dais who has actually received a",2025-01-22_biggs.txt,almost silly say senate plan would allowed people day country president take executive action would panacea biden failed policies unique perhaps fortunate individual ranking member entire committee able condemn pardons presidential pardons person know dais actually received
2025-01-22,biggs,"Well, not just what it should be. That's the
law.",2025-01-22_biggs.txt,well law
2025-01-22,biggs,"No administration has been successful in doing
that because there is a massive number of asylum requests.",2025-01-22_biggs.txt,administration successful massive number asylum requests
2025-01-22,biggs,"Under this administration, how many asylum
requestors have been released into the country?",2025-01-22_biggs.txt,administration many asylum requestors released country
2025-01-22,biggs,"If they were actually detained by the way the
law requires and which President Trump says he wants to do, he
wants to enforce the law, what does that do to incentives to
come into this country illegally?",2025-01-22_biggs.txt,actually detained way law requires president trump says wants wants enforce law incentives come country illegally
2025-01-22,biggs,"If you're not detaining them, that's the magnet.",2025-01-22_biggs.txt,detaining magnet
2025-01-22,biggs,"If you do detain them, it becomes a deterrent.",2025-01-22_biggs.txt,detain becomes deterrent
2025-01-22,biggs,"If you remove people, like you have 1.4 million
who are actively in the country with removal orders, that
doesn't count all the 500,000 plus criminal individuals. That
is just the 1.4 who have had due process.",2025-01-22_biggs.txt,remove people like million actively country removal orders count plus criminal individuals due process
2025-01-22,biggs,"If you begin removing people, what does that do
as a deterrent or a magnet?",2025-01-22_biggs.txt,begin removing people deterrent magnet
